sex=female,country of birth,log # of previous penal cases,age in years,age at first penal case,offence type,11-20 previous case,>20 previous case,age squared,recidivism_in_4y
0,1,1.945910149,20.8721996,13.24841598,5,0,0,206.6818309,1
0,1,0.0,21.85626283,12.44503429,4,0,1,179.35557260000002,1
0,1,0.0,26.29028941,11.77926427,4,0,1,80.25191586,1
1,1,0.0,21.83473008,21.83473008,7,0,0,179.9327854,1
0,1,1.098612289,41.84531143,27.37163355,7,0,0,43.51616931,0
0,1,0.0,37.28436066,17.14607226,6,1,0,4.144188034,1
0,1,0.0,63.43052704,63.43052704,1,0,0,794.2191642999999,0
0,1,1.386294361,53.61110813,32.87611225,5,0,0,337.1805013,1
1,1,0.0,40.00147115,40.00147115,8,0,0,22.58947265,0
0,1,0.0,18.82219139,18.82219139,5,0,0,269.82797650000003,1
0,1,0.0,41.47022587,16.32306639,7,0,1,38.708220700000005,1
0,1,0.0,59.66201188,59.66201188,8,0,0,596.0130793,0
0,1,1.098612289,20.8869202,18.32332934,5,0,0,206.2587879,1
0,1,1.098612289,27.43052704,14.81724846,7,0,0,61.12277731,0
0,1,0.0,49.58431839,49.58431839,8,0,0,205.5118821,0
1,1,0.0,55.74588876,55.74588876,1,0,0,420.1375028,0
0,1,0.0,46.76145613,46.76145613,7,0,0,132.5451017,0
0,1,0.0,25.15177064,25.15177064,7,0,0,101.946625,1
0,7,2.397895273,25.50056243,20.03748225,8,0,0,95.02487538,1
0,7,1.791759469,19.97809719,17.28220121,4,0,0,233.1892569,1
0,1,0.0,21.52420304,21.52420304,7,0,0,188.3599714,0
0,1,0.0,40.45448323,16.29568789,4,0,1,27.10087899,1
0,4,1.609437912,47.60027379,24.56673511,7,0,0,152.56303569999997,1
0,1,0.0,26.43193839,26.43193839,4,0,0,77.73409981,0
1,3,0.0,26.37706305,26.37706305,8,0,0,78.7047493,0
0,1,0.0,25.0298023,12.56947296,7,1,0,104.4244963,0
0,1,0.0,19.90631065,19.90631065,5,0,0,235.3868481,1
0,4,1.098612289,41.33059548,36.8282076,7,0,0,36.9902704,0
0,1,0.0,41.91649555,41.91649555,7,0,0,44.46039403,0
0,1,0.693147181,38.03422313,26.49832386,1,0,0,7.759513664,0
0,1,0.0,58.59493979,58.59493979,1,0,0,545.0500515,0
0,1,1.098612289,24.1670089,15.92170079,1,0,0,122.8023877,1
0,4,0.0,42.44490075,23.88163916,1,0,1,51.78627284,1
0,6,0.0,20.20922557,20.20922557,6,0,0,226.1837689,0
0,1,0.0,27.96974779,27.96974779,7,0,0,52.98216653,0
0,1,0.0,19.59479808,13.10378714,4,1,0,245.0425405,1
0,7,0.693147181,36.56854704,28.55469193,1,0,0,1.742173666,0
0,6,0.0,52.99931554,52.99931554,1,0,0,315.08673860000005,0
0,7,0.693147181,30.14099932,27.51874889,8,0,0,26.08791954,0
0,1,2.079441542,55.24709103,42.15305866,8,0,0,399.9383328,0
0,1,0.0,50.0862423,50.0862423,8,0,0,220.1546565,0
0,6,2.397895273,25.99669325,21.96659993,7,0,0,85.59838488,0
0,1,0.0,34.92257767,19.75798781,5,1,0,0.106311932,1
0,1,1.098612289,34.50025208,20.68974833,5,0,0,0.560073664,0
0,6,0.693147181,51.2025693,24.52503619,1,0,0,254.52809080000003,0
0,4,2.397895273,42.29158111,26.38556544,6,0,0,49.60312126,0
0,7,0.0,44.8733744,31.40228645,4,1,0,92.63565141,1
0,1,1.791759469,34.71390343,19.28640213,5,0,0,0.285935466,0
0,1,1.098612289,28.46591718,20.0330546,5,0,0,46.00523082,0
0,1,1.791759469,60.51197809999999,39.17041423,1,0,0,638.236617,0
0,1,0.0,31.05945522,16.18069815,7,1,0,17.54920858,1
0,4,1.386294361,46.32700183,35.57572544,7,0,0,122.730261,0
0,1,0.0,22.74880219,22.74880219,8,0,0,156.2457646,0
0,1,1.791759469,28.36538751,14.70773443,8,0,0,47.3790653,0
0,4,1.945910149,46.74371746,24.29868545,6,0,0,132.1369719,0
0,1,0.0,52.34109508,52.34109508,1,0,0,292.1522676,0
0,1,2.302585093,26.107001800000003,17.78324774,7,0,0,83.56941685,1
1,3,0.0,20.45995893,20.45995893,6,0,0,218.704874,0
0,6,0.693147181,22.27789185,20.79234799,3,0,0,168.24012,0
0,3,2.197224577,30.32497376,25.27310062,7,0,0,24.24241805,0
0,5,1.791759469,38.68856947,32.41067762,1,0,0,11.8331645,1
1,1,0.0,30.50813696,30.50813696,7,0,0,22.47230053,0
0,7,1.609437912,26.31432235,18.25051335,4,0,0,79.82190273,1
0,1,1.098612289,51.81704423,30.14647502,8,0,0,274.5122582,0
0,7,1.386294361,43.9026765,37.79329227,4,0,0,74.89247287,1
0,1,0.693147181,24.33085117,18.23408624,4,0,0,119.1979551,0
0,1,1.098612289,19.30434412,15.76331267,7,0,0,254.22034069999995,1
0,1,1.945910149,42.6331774,16.86983136,8,0,0,54.53149929,0
0,4,2.197224577,34.49968011,13.67059998,4,0,0,0.560930093,0
0,1,0.693147181,34.87496213,22.98935651,7,0,0,0.139629747,0
1,5,0.0,46.05040431,46.05040431,7,0,0,116.6782683,0
0,1,0.0,62.99216601,62.99216601,5,0,0,769.7036363,0
0,1,0.0,19.47423004,19.47423004,1,0,0,248.8317815,1
0,1,1.386294361,22.50513347,20.62165681,8,0,0,162.39677450000002,1
0,1,0.0,23.90691307,23.90691307,5,0,0,128.6346057,0
0,1,0.0,47.55373032,20.96919918,7,1,0,151.4154257,0
0,6,0.0,29.71663244,29.71663244,4,0,0,30.60302765,0
0,1,1.386294361,25.31653887,17.44335656,3,0,0,98.64648933,0
0,1,1.609437912,55.31279945,35.00442502,7,0,0,402.5707845,0
0,1,0.0,21.42642026,21.42642026,4,0,0,191.0535588,0
1,1,0.0,33.9301848,33.9301848,7,0,0,1.738305045,0
0,1,0.0,31.150054,31.150054,5,0,0,16.79834799,0
1,1,0.0,20.73558981,20.73558981,8,0,0,210.628416,1
0,1,1.609437912,74.84736482,51.64372392,8,0,0,1568.05958,1
0,5,0.0,35.77634941,35.77634941,8,0,0,0.278484844,0
0,1,0.0,29.74050508,29.74050508,1,0,0,30.33947072,0
0,7,1.791759469,34.86382659,20.27553714,6,0,0,0.148075798,1
0,1,1.945910149,25.51990456,16.63123942,4,0,0,94.64815273,1
0,1,2.079441542,31.10198494,18.38740589,1,0,0,17.19468824,0
0,1,0.0,21.229295,21.229295,5,0,0,196.5418315,0
0,1,2.079441542,34.35146066,16.84131309,7,0,0,0.8049177959999999,1
1,1,0.0,45.30392476,45.30392476,8,0,0,101.1088969,1
0,1,1.609437912,23.74526871,14.23134839,4,0,0,132.3273847,0
0,1,0.0,35.79971896,35.79971896,7,0,0,0.303695984,1
0,1,0.0,24.10492984,24.10492984,4,0,0,124.182115,0
0,1,1.791759469,22.41811532,16.51169756,6,0,0,164.6221781,1
0,1,1.098612289,20.862819100000003,16.58688224,6,0,0,206.9516351,0
0,1,0.0,29.42861707,16.54087668,6,1,0,33.8725828,1
0,1,0.0,44.20026881,15.83512599,8,0,1,80.13178774,1
0,1,1.791759469,29.93145974,18.26146475,8,0,0,28.27232903,0
0,6,0.0,23.78769843,23.78769843,4,0,0,131.353016,0
0,6,1.945910149,36.41341547,35.21835121,7,0,0,1.3567187280000002,1
0,1,1.945910149,32.69787611,15.07460643,7,0,0,6.506359575,1
0,1,2.079441542,54.28428258,34.44022945,7,0,0,362.35596360000005,1
0,1,0.0,23.73169062,23.73169062,7,0,0,132.63995649999998,0
0,1,0.693147181,29.19167405,22.12183436,1,0,0,36.68674897,0
1,6,1.791759469,23.34850128,12.56399726,5,0,0,141.6131295,1
0,1,0.0,30.55715264,30.55715264,8,0,0,22.00998588,0
0,1,0.693147181,45.58857692,41.59858728,7,0,0,106.914445,0
0,1,0.693147181,37.08418891,22.31886227,5,0,0,3.369266338,0
1,6,0.0,23.70880213,23.70880213,7,0,0,133.1676913,0
0,6,0.0,20.72766047,20.72766047,4,0,0,210.8586367,1
0,1,0.0,44.03559206,15.73427957,7,1,0,77.21065351,1
0,6,0.0,25.08418891,25.08418891,7,0,0,103.315919,0
0,1,1.945910149,22.91980927,17.58834664,8,0,0,151.999889,0
0,1,0.0,20.81887599,20.81887599,5,0,0,208.2178808,1
0,1,0.0,35.98631075,14.05276326,4,0,1,0.544168792,1
0,2,1.098612289,30.97795434,18.44490075,5,0,0,18.23869425,0
0,1,0.693147181,20.58590007,20.36035855,7,0,0,214.9957304,1
0,1,1.098612289,25.66544842,17.92875136,8,0,0,91.83742238,1
0,1,1.609437912,23.22539268,15.93587402,7,0,0,144.5583024,1
0,1,0.0,18.28884326,18.28884326,4,0,0,287.6344604,0
0,1,0.0,43.82673296,17.75940781,4,0,1,73.58380279,1
0,1,1.386294361,21.98494182,20.60149241,5,0,0,175.9254977,1
0,1,0.0,21.39184491,21.39184491,1,0,0,192.0105698,0
0,1,1.098612289,24.21854976,21.50394048,1,0,0,121.6627312,0
0,6,0.0,19.50183797,19.50183797,4,0,0,247.9615465,1
0,1,1.098612289,35.96460029,18.01739068,4,0,0,0.51260948,0
0,1,1.098612289,23.33443053,14.37433788,7,0,0,141.948215,1
0,1,1.791759469,50.93223819,22.90212183,7,0,0,245.975479,1
0,1,0.0,35.6495551,35.6495551,4,0,0,0.160738712,0
0,1,0.0,53.24885153,53.24885153,1,0,0,324.0078752,0
0,3,0.693147181,22.18206708,21.86721424,6,0,0,170.73513909999997,1
0,1,0.0,19.44695414,19.44695414,4,0,0,249.6930476,0
0,7,1.791759469,33.7467488,31.31777258,3,0,0,2.255655462,0
0,4,0.0,46.07213495,30.09290795,4,1,0,117.1481994,1
0,2,0.0,23.7940608,12.49592932,8,1,0,131.2072192,0
1,6,0.0,31.51424503,31.51424503,8,0,0,13.94565181,0
0,2,1.098612289,21.36188097,19.79534201,1,0,0,192.8418756,1
1,1,0.0,47.34291581,47.34291581,1,0,0,146.2716822,0
0,1,0.0,37.91649555,37.91649555,7,0,0,7.117491802000001,1
0,1,0.0,54.59548255,23.4934976,4,0,1,374.3005961,1
0,7,0.0,22.57086927,22.57086927,7,0,0,160.7256875,0
0,1,0.693147181,25.87352539,24.72692004,4,0,0,87.89263835,0
0,1,2.302585093,42.51480499,17.52224504,4,0,0,52.79725871,1
0,3,1.791759469,23.72621492,19.20054757,8,0,0,132.7661132,1
0,7,1.791759469,51.77239061,45.05706023,7,0,0,273.0345731,0
0,1,0.0,35.47300137,13.27540938,8,0,1,0.050341267,1
0,1,0.0,25.1384245,25.1384245,7,0,0,102.2163113,1
0,1,0.0,37.54427379999999,14.85798391,4,0,1,5.2699677430000005,1
0,6,0.0,22.19849418,22.19849418,8,0,0,170.3061172,0
0,1,0.693147181,19.60301164,15.24253172,5,0,0,244.7854608,0
0,1,0.0,45.14168378,22.067457,1,0,1,97.87245819,1
0,1,0.693147181,24.35318275,15.11197854,5,0,0,118.7108312,1
0,1,1.098612289,47.21028345,21.1883532,8,0,0,143.0810869,0
0,6,0.0,45.49159382,45.49159382,4,0,0,104.9182509,0
0,1,1.098612289,22.47067267,21.80657528,7,0,0,163.2762643,0
0,6,0.0,41.82888433,31.71526352,5,0,1,43.2997105,1
0,7,0.693147181,25.13425245,25.13347023,7,0,0,102.3006894,1
0,1,0.0,47.45516769,47.45516769,4,0,0,148.9994948,0
0,1,1.609437912,35.01185134,21.51512064,4,0,0,0.056065445,1
0,1,0.0,41.229295,41.229295,7,0,0,35.76832071,0
0,1,0.0,32.52444232,32.52444232,8,0,0,7.421213617,0
0,1,2.079441542,30.79712754,16.33127995,1,0,0,19.81589886,1
0,4,0.0,34.94045175,25.80772844,6,1,0,0.094975546,0
0,1,0.0,34.2477755,34.2477755,1,0,0,1.001715289,0
0,3,0.0,41.28405202,41.28405202,7,0,0,36.42628548,0
0,4,0.0,21.55728886,21.55728886,5,0,0,187.4528981,1
0,1,0.693147181,25.69734802,25.15093432,7,0,0,91.22704036,0
1,7,0.0,22.48870637,22.48870637,4,0,0,162.8157219,0
0,1,2.302585093,22.13741416,19.52351513,8,0,0,171.9040536,0
1,1,1.945910149,48.27361846,31.62491444,4,0,0,169.65025219999998,1
0,1,0.0,28.58590007,28.58590007,7,0,0,44.39200709,1
0,1,0.0,62.95156343,62.95156343,7,0,0,767.4523667999999,1
0,7,1.609437912,20.07118412,16.06488031,4,0,0,230.3549476,1
0,1,1.609437912,64.60232717,39.6550308,1,0,0,861.6393749,0
1,1,0.0,49.86390632,49.86390632,5,0,0,213.6062208,0
1,1,0.0,42.19849418,42.19849418,8,0,0,48.3005736,0
0,1,0.693147181,46.96046749,36.74437749,7,0,0,137.16707250000002,1
0,1,0.693147181,19.02658314,18.420260100000004,4,0,0,263.1548944,0
0,1,0.693147181,68.75428695,46.6036961,8,0,0,1122.628862,0
0,1,0.0,45.83264139,45.83264139,7,0,0,112.0212385,0
1,1,0.0,30.73695661,30.73695661,7,0,0,20.35522178,0
1,1,1.386294361,61.5797399,37.86754753,5,0,0,693.3272028,0
0,1,0.0,27.53949879,27.53949879,8,0,0,59.43074678,1
0,1,0.693147181,25.20326565,20.28466068,7,0,0,100.9094007,0
0,1,0.693147181,30.72416153,21.08171553,7,0,0,20.47084,0
1,7,0.0,19.67302577,19.67302577,5,0,0,242.5995336,0
0,1,1.386294361,41.71215302,37.85988114,5,0,0,41.77709392,0
0,6,0.0,29.42373184,29.42373184,4,0,0,33.92947085,0
1,7,0.0,38.60095825,38.60095825,4,0,0,11.23808609,0
1,1,1.791759469,29.79491432,14.16445899,4,0,0,29.74304502,1
0,1,0.0,18.32443532,18.32443532,7,0,0,286.42845950000003,1
0,1,1.945910149,36.45995893,17.19096509,5,0,0,1.467311064,1
0,1,1.945910149,19.79192334,15.57549456,8,0,0,238.9098665,1
0,6,0.0,52.22176591,52.22176591,7,0,0,288.0872486,1
0,6,0.0,32.22997947,32.22997947,7,0,0,9.112267787,0
1,1,0.0,23.49897331,23.49897331,7,0,0,138.0544976,0
1,1,0.0,19.03545146,19.03545146,8,0,0,262.8672483,0
0,5,0.0,28.37043441,28.37043441,8,0,0,47.30961269,0
0,4,1.386294361,40.07090824,22.51359875,8,0,0,23.25434072,0
0,7,0.0,42.88229133,42.88229133,4,0,0,58.27274302,0
0,1,0.0,64.06623283,64.06623283,8,0,0,830.4540728,0
0,6,0.0,29.27970765,29.27970765,7,0,0,35.62806718,0
0,1,0.0,32.37460998,32.37460998,1,0,0,8.260006998,0
0,1,0.0,53.10958504,53.10958504,8,0,0,319.013616,0
0,1,1.386294361,42.86926762,18.26554351,5,0,0,58.07407555,0
0,1,0.693147181,79.28268309,50.89999338,8,0,0,1938.997588,0
0,1,2.197224577,30.94762913,19.36991422,1,0,0,18.49863235,1
1,4,0.0,64.27104723,64.27104723,6,0,0,842.3005408,0
0,4,0.0,19.75359343,19.75359343,8,0,0,240.0962443,1
0,7,0.0,50.40215241,50.40215241,4,0,0,229.6291575,0
0,1,0.693147181,29.160163,16.86436,4,0,0,37.06946413,1
0,3,0.693147181,31.53635229,27.52908966,7,0,0,13.78102639,1
0,1,1.386294361,42.69678303,24.71875618,1,0,0,55.47494218,1
0,1,1.945910149,31.70980426,17.14542421,4,0,0,12.52330723,0
1,6,0.0,20.00821355,20.00821355,4,0,0,232.270378,0
0,1,0.0,24.82613079,24.82613079,1,0,0,108.6285476,0
0,3,0.0,45.88335076,27.4880219,5,0,1,113.0972267,1
0,1,2.079441542,22.52813211,14.97687185,5,0,0,161.811137,0
0,1,1.791759469,38.96053382,17.00360379,7,0,0,13.77820936,0
0,1,1.098612289,39.6284098,36.91718001,1,0,0,19.18244678,1
0,1,0.693147181,24.55858852,22.33538672,8,0,0,114.2770462,1
0,1,0.0,21.08838289,21.08838289,1,0,0,200.5126767,1
1,4,1.386294361,31.92060233,13.81601091,4,0,0,11.07578665,0
1,1,0.0,24.22997947,24.22997947,6,0,0,121.4107207,0
0,1,0.0,29.33059548,29.33059548,1,0,0,35.02316537,1
0,4,0.0,30.6091718,30.6091718,6,0,0,21.52459812,0
1,1,0.0,44.09034908,44.09034908,8,0,0,78.17594718,0
0,1,0.0,34.93910627,34.93910627,8,0,0,0.0958066569999999,0
0,1,0.693147181,42.76650401,27.95071869,7,0,0,56.51838796,0
0,1,0.693147181,21.19096509,15.30405595,7,0,0,197.6180206,0
0,3,0.0,30.2972349,30.2972349,1,0,0,24.51634092,0
0,7,0.0,18.2532512,18.2532512,5,0,0,288.84299489999995,0
0,1,1.098612289,46.13278576,24.30116359,8,0,0,118.4647863,0
0,1,0.693147181,21.82228918,14.27643661,5,0,0,180.2667023,1
0,1,0.0,45.65583625,45.65583625,1,0,0,108.3098842,0
1,1,0.0,19.83025325,19.83025325,4,0,0,237.7264271,0
0,1,0.693147181,23.50444901,19.48743872,8,0,0,137.9258523,0
0,1,0.0,36.64762602,14.39542982,4,0,1,1.957182115,1
1,4,0.0,52.78970574,52.78970574,8,0,0,307.68924100000004,0
